turn,partner_helped_last,agent_helping_rate,human_helping_rate
0,No,0.0008365867261572784,0.06999442275515895
0,Yes,0.0,0.46153846153846156
1,No,0.024992734670154025,0.04475443185120605
1,Yes,0.027522935779816515,0.5107033639143731
2,No,0.05089207370576192,0.061128985083357706
2,Yes,0.10315186246418338,0.5272206303724928
3,No,0.057856093979442,0.08311306901615272
3,Yes,0.09366391184573003,0.27823691460055094
4,No,0.04694291509707331,0.060851926977687626
4,Yes,0.11041009463722397,0.06309148264984227
5,No,0.054129291679554596,0.04743083003952569
5,Yes,0.056074766355140186,0.1270718232044199
6,No,0.06757990867579909,0.06674684305472038
6,Yes,0.030501089324618737,0.31343283582089554
7,No,0.04094689699296225,0.07188498402555911
7,Yes,0.006920415224913495,0.2647058823529412
8,No,0.0286144578313253,0.059301380991064176
8,Yes,0.006436041834271922,0.07291666666666667
9,No,0.04126750184229919,0.0374251497005988
9,Yes,0.006265664160401002,0.05
