turn,partner_helped_last,agent_helping_rate,human_helping_rate
0,No,0.45566090351366423,0.06999442275515895
0,Yes,0.6868131868131868,0.46153846153846156
1,No,0.41238012205754143,0.04475443185120605
1,Yes,0.5657492354740061,0.5107033639143731
2,No,0.18631178707224336,0.061128985083357706
2,Yes,0.3868194842406877,0.5272206303724928
3,No,0.08781204111600588,0.08311306901615272
3,Yes,0.2837465564738292,0.27823691460055094
4,No,0.03911909591422776,0.060851926977687626
4,Yes,0.17665615141955837,0.06309148264984227
5,No,0.0684931506849315,0.04743083003952569
5,Yes,0.06715063520871144,0.1270718232044199
6,No,0.117096018735363,0.06674684305472038
6,Yes,0.048884165781083955,0.31343283582089554
7,No,0.05821474773609314,0.07188498402555911
7,Yes,0.03038674033149171,0.2647058823529412
8,No,0.08469539375928678,0.059301380991064176
8,Yes,0.02099236641221374,0.07291666666666667
9,No,0.040519877675840976,0.0374251497005988
9,Yes,0.017027863777089782,0.05
