energy_bin,agent_helping_rate,human_helping_rate
0-10,0.0008022462896109105,0.06813304721030043
10-20,0.06795224977043159,0.09014084507042254
20-30,0.02076923076923077,0.049132947976878616
30-40,0.023240800516462233,0.08937960042060988
40-50,0.03577981651376147,0.055651176133103844
50-60,0.05180102915951972,0.07360552041403105
60-70,0.05788423153692615,0.06935687263556116
70-80,0.0445945945945946,0.07991156032849021
80-90,0.034555288461538464,0.09403889065986612
90-100,0.04245538128718226,0.13971539456662355
