turn,partner_helped_last,agent_helping_rate,human_helping_rate
0,No,0.3343558282208589,0.06999442275515895
0,Yes,0.24725274725274726,0.46153846153846156
1,No,0.33478639930252835,0.04475443185120605
1,Yes,0.327217125382263,0.5107033639143731
2,No,0.26557472945305644,0.061128985083357706
2,Yes,0.4269340974212034,0.5272206303724928
3,No,0.1406754772393539,0.08311306901615272
3,Yes,0.24793388429752067,0.27823691460055094
4,No,0.07273254129237902,0.060851926977687626
4,Yes,0.0914826498422713,0.06309148264984227
5,No,0.10218068535825545,0.04743083003952569
5,Yes,0.05575539568345324,0.1270718232044199
6,No,0.09286047596826878,0.06674684305472038
6,Yes,0.042842215256008356,0.31343283582089554
7,No,0.07325049051667756,0.07188498402555911
7,Yes,0.02317596566523605,0.2647058823529412
8,No,0.04951237809452363,0.059301380991064176
8,Yes,0.011035653650254669,0.07291666666666667
9,No,0.03335860500379075,0.0374251497005988
9,Yes,0.01287001287001287,0.05
