distance_bin,agent_helping_rate,human_helping_rate
0-2,0.5362872421695951,0.09446623093681918
3-5,0.4794433902593295,0.08286882199925678
6-10,0.33459755583649387,0.07970440749538137
11+,0.016182167034717445,0.0592071391796808
