energy_bin,agent_helping_rate,human_helping_rate
0-10,0.0007584280315000442,0.06813304721030043
10-20,0.04981684981684982,0.09014084507042254
20-30,0.03297997644287397,0.049132947976878616
30-40,0.037494284407864654,0.08937960042060988
40-50,0.042105263157894736,0.055651176133103844
50-60,0.059809398619783107,0.07360552041403105
60-70,0.06971153846153846,0.06935687263556116
70-80,0.1385212634550909,0.07991156032849021
80-90,0.16872352182722417,0.09403889065986612
90-100,0.11518433659654238,0.13971539456662355
