energy_bin,agent_helping_rate,human_helping_rate
0-10,0.00041277397872838096,0.06813304721030043
10-20,0.025116279069767444,0.09014084507042254
20-30,0.03252647503782148,0.049132947976878616
30-40,0.048701298701298704,0.08937960042060988
40-50,0.06178608515057113,0.055651176133103844
50-60,0.06636155606407322,0.07360552041403105
60-70,0.05250223413762288,0.06935687263556116
70-80,0.04629329880220136,0.07991156032849021
80-90,0.018052678307191476,0.09403889065986612
90-100,0.029526762842119456,0.13971539456662355
