distance_bin,agent_helping_rate,human_helping_rate
0-2,0.2934472934472934,0.09446623093681918
3-5,0.3819444444444444,0.08286882199925678
6-10,0.010638297872340425,0.07970440749538137
11+,0.008906280007681967,0.0592071391796808
