energy_bin,agent_helping_rate,human_helping_rate
0-10,0.025451559934318555,0.06813304721030043
10-20,0.037694013303769404,0.09014084507042254
20-30,0.04440919904837431,0.049132947976878616
30-40,0.057316250842886045,0.08937960042060988
40-50,0.050955414012738856,0.055651176133103844
50-60,0.04033333333333333,0.07360552041403105
60-70,0.05589225589225589,0.06935687263556116
70-80,0.051864125932062966,0.07991156032849021
80-90,0.061300401725933644,0.09403889065986612
90-100,0.045434876676763304,0.13971539456662355
