turn,partner_helped_last,agent_helping_rate,human_helping_rate
0,No,0.0,0.06999442275515895
0,Yes,0.0,0.46153846153846156
1,No,0.0,0.04475443185120605
1,Yes,0.0,0.5107033639143731
2,No,0.019303890026323486,0.061128985083357706
2,Yes,0.0057306590257879654,0.5272206303724928
3,No,0.016740088105726872,0.08311306901615272
3,Yes,0.030303030303030304,0.27823691460055094
4,No,0.015068096203998842,0.060851926977687626
4,Yes,0.031545741324921134,0.06309148264984227
5,No,0.016373185047883845,0.04743083003952569
5,Yes,0.009416195856873822,0.1270718232044199
6,No,0.014611872146118721,0.06674684305472038
6,Yes,0.007641921397379912,0.31343283582089554
7,No,0.013409961685823755,0.07188498402555911
7,Yes,0.0034602076124567475,0.2647058823529412
8,No,0.009009009009009009,0.059301380991064176
8,Yes,0.0016116035455278,0.07291666666666667
9,No,0.015498154981549815,0.0374251497005988
9,Yes,0.0012547051442910915,0.05
