turn,partner_helped_last,agent_helping_rate,human_helping_rate
0,No,0.0,0.06999442275515895
0,Yes,0.0,0.46153846153846156
1,No,0.0002906131938390003,0.04475443185120605
1,Yes,0.0,0.5107033639143731
2,No,0.015209125475285171,0.061128985083357706
2,Yes,0.0,0.5272206303724928
3,No,0.029955947136563875,0.08311306901615272
3,Yes,0.01928374655647383,0.27823691460055094
4,No,0.021153288901767604,0.060851926977687626
4,Yes,0.056782334384858045,0.06309148264984227
5,No,0.04271123491179202,0.04743083003952569
5,Yes,0.0297951582867784,0.1270718232044199
6,No,0.06484018264840183,0.06674684305472038
6,Yes,0.007625272331154684,0.31343283582089554
7,No,0.05615826419910657,0.07188498402555911
7,Yes,0.006071118820468344,0.2647058823529412
8,No,0.03915881073241479,0.059301380991064176
8,Yes,0.00587248322147651,0.07291666666666667
9,No,0.04113475177304964,0.0374251497005988
9,Yes,0.0013280212483399733,0.05
