energy_bin,agent_helping_rate,human_helping_rate
0-10,0.10305917753259779,0.06813304721030043
10-20,0.0584016393442623,0.09014084507042254
20-30,0.05387205387205387,0.049132947976878616
30-40,0.14212827988338192,0.08937960042060988
40-50,0.09988901220865705,0.055651176133103844
50-60,0.0606281957633309,0.07360552041403105
60-70,0.044318474619943315,0.06935687263556116
70-80,0.11356080489938758,0.07991156032849021
80-90,0.11018816748601458,0.09403889065986612
90-100,0.025999223903764065,0.13971539456662355
