energy_bin,agent_helping_rate,human_helping_rate
0-10,0.0016665020738692476,0.06813304721030043
10-20,0.017277125086385625,0.09014084507042254
20-30,0.02948885976408912,0.049132947976878616
30-40,0.13844456701599558,0.08937960042060988
40-50,0.0768025078369906,0.055651176133103844
50-60,0.09726027397260274,0.07360552041403105
60-70,0.090625,0.06935687263556116
70-80,0.1518008674335282,0.07991156032849021
80-90,0.13648157758173327,0.09403889065986612
90-100,0.03763440860215054,0.13971539456662355
