energy_bin,agent_helping_rate,human_helping_rate
0-10,0.0005639627784566219,0.06813304721030043
10-20,0.0071633237822349575,0.09014084507042254
20-30,0.003000750187546887,0.049132947976878616
30-40,0.011118832522585128,0.08937960042060988
40-50,0.006928406466512702,0.055651176133103844
50-60,0.01043382756727073,0.07360552041403105
60-70,0.0035964414158621994,0.06935687263556116
70-80,0.005269320843091335,0.07991156032849021
80-90,0.003052827183435094,0.09403889065986612
90-100,0.0,0.13971539456662355
