energy_bin,agent_helping_rate,human_helping_rate
0-10,0.11790761442733601,0.06813304721030043
10-20,0.10626992561105207,0.09014084507042254
20-30,0.08354646206308611,0.049132947976878616
30-40,0.13321898227558604,0.08937960042060988
40-50,0.10634239389604197,0.055651176133103844
50-60,0.10032457952198288,0.07360552041403105
60-70,0.05397520058351568,0.06935687263556116
70-80,0.17386530014641288,0.07991156032849021
80-90,0.20555073720728534,0.09403889065986612
90-100,0.14361702127659576,0.13971539456662355
