distance_bin,agent_helping_rate,human_helping_rate
0-2,0.2823135249515077,0.09446623093681918
3-5,0.33668561434193267,0.08286882199925678
6-10,0.36177347242921015,0.07970440749538137
11+,0.08622033604711589,0.0592071391796808
