energy_bin,agent_helping_rate,human_helping_rate
0-10,0.1116515586999779,0.06813304721030043
10-20,0.06119027661357921,0.09014084507042254
20-30,0.07570295602018745,0.049132947976878616
30-40,0.10083160083160084,0.08937960042060988
40-50,0.06094627105052125,0.055651176133103844
50-60,0.052886068298579635,0.07360552041403105
60-70,0.05608194622279129,0.06935687263556116
70-80,0.17673498741459906,0.07991156032849021
80-90,0.2539574853007689,0.09403889065986612
90-100,0.12885948330182734,0.13971539456662355
