turn,partner_helped_last,agent_helping_rate,human_helping_rate
0,No,0.1857222532069158,0.06999442275515895
0,Yes,0.2087912087912088,0.46153846153846156
1,No,0.22377215925603022,0.04475443185120605
1,Yes,0.3516819571865443,0.5107033639143731
2,No,0.13834454518865166,0.061128985083357706
2,Yes,0.30659025787965616,0.5272206303724928
3,No,0.09838472834067548,0.08311306901615272
3,Yes,0.1928374655647383,0.27823691460055094
4,No,0.023761228629382788,0.060851926977687626
4,Yes,0.03785488958990536,0.06309148264984227
5,No,0.03554868624420402,0.04743083003952569
5,Yes,0.0375234521575985,0.1270718232044199
6,No,0.06706204379562043,0.06674684305472038
6,Yes,0.0392156862745098,0.31343283582089554
7,No,0.04510800508259212,0.07188498402555911
7,Yes,0.03364969801553063,0.2647058823529412
8,No,0.06950672645739911,0.059301380991064176
8,Yes,0.0128,0.07291666666666667
9,No,0.04361132364192808,0.0374251497005988
9,Yes,0.02546916890080429,0.05
