turn,partner_helped_last,agent_helping_rate,human_helping_rate
0,No,0.0,0.06999442275515895
0,Yes,0.0,0.46153846153846156
1,No,0.0031967451322290033,0.04475443185120605
1,Yes,0.0764525993883792,0.5107033639143731
2,No,0.010821877742029834,0.061128985083357706
2,Yes,0.14326647564469913,0.5272206303724928
3,No,0.026138032305433188,0.08311306901615272
3,Yes,0.1763085399449036,0.27823691460055094
4,No,0.027238481599536367,0.060851926977687626
4,Yes,0.12618296529968454,0.06309148264984227
5,No,0.026625386996904025,0.04743083003952569
5,Yes,0.031598513011152414,0.1270718232044199
6,No,0.028978840846366146,0.06674684305472038
6,Yes,0.016129032258064516,0.31343283582089554
7,No,0.01910828025477707,0.07188498402555911
7,Yes,0.006222222222222222,0.2647058823529412
8,No,0.02190332326283988,0.059301380991064176
8,Yes,0.005937234944868533,0.07291666666666667
9,No,0.023668639053254437,0.0374251497005988
9,Yes,0.00651890482398957,0.05
