energy_bin,agent_helping_rate,human_helping_rate
0-10,0.00019051247856734617,0.06813304721030043
10-20,0.0025031289111389237,0.09014084507042254
20-30,0.01076158940397351,0.049132947976878616
30-40,0.02582496413199426,0.08937960042060988
40-50,0.015289058767319636,0.055651176133103844
50-60,0.02050113895216401,0.07360552041403105
60-70,0.008406572411157814,0.06935687263556116
70-80,0.009333333333333334,0.07991156032849021
80-90,0.0066711140760507,0.09403889065986612
90-100,0.0007961783439490446,0.13971539456662355
