energy_bin,agent_helping_rate,human_helping_rate
0-10,0.0006331888363937461,0.06813304721030043
10-20,0.014251781472684086,0.09014084507042254
20-30,0.017363851617995266,0.049132947976878616
30-40,0.02896451846488052,0.08937960042060988
40-50,0.04831404126824358,0.055651176133103844
50-60,0.041267745130406076,0.07360552041403105
60-70,0.03551074090311267,0.06935687263556116
70-80,0.032557407989933944,0.07991156032849021
80-90,0.01713972302207596,0.09403889065986612
90-100,0.0009359540045460623,0.13971539456662355
