energy_bin,agent_helping_rate,human_helping_rate
0-10,0.10077234277307834,0.06813304721030043
10-20,0.09610705596107055,0.09014084507042254
20-30,0.06978967495219886,0.049132947976878616
30-40,0.09264705882352942,0.08937960042060988
40-50,0.05561023622047244,0.055651176133103844
50-60,0.08762717426977355,0.07360552041403105
60-70,0.03598484848484849,0.06935687263556116
70-80,0.07979539641943734,0.07991156032849021
80-90,0.08469210068070286,0.09403889065986612
90-100,0.03857327307940607,0.13971539456662355
