distance_bin,agent_helping_rate,human_helping_rate
0-2,0.26851851851851855,0.09446623093681918
3-5,0.05263157894736842,0.08286882199925678
6-10,0.002305032654629274,0.07970440749538137
11+,0.002633173323390968,0.0592071391796808
