distance_bin,agent_helping_rate,human_helping_rate
0-2,0.3551587301587302,0.09446623093681918
3-5,0.2967465141222739,0.08286882199925678
6-10,0.2938110749185668,0.07970440749538137
11+,0.005855792295752787,0.0592071391796808
