patchUniformity,Human,Selfish,Capacity,Proximity,Reciprocity,Cap+Prox
Uniform,0.073,0.003,0.051,0.041,0.013,0.134
Non-uniform,0.097,0.003,0.139,0.064,0.018,0.215
