distance_bin,agent_helping_rate,human_helping_rate
0-2,0.47075664621676894,0.09446623093681918
3-5,0.43485915492957744,0.08286882199925678
6-10,0.40701914311759346,0.07970440749538137
11+,0.008970759432993221,0.0592071391796808
