energy_bin,agent_helping_rate,human_helping_rate
0-10,0.02455056624693118,0.06813304721030043
10-20,0.09058295964125561,0.09014084507042254
20-30,0.05646359583952452,0.049132947976878616
30-40,0.06891891891891892,0.08937960042060988
40-50,0.08568496664956388,0.055651176133103844
50-60,0.07150331356818974,0.07360552041403105
60-70,0.02962761620005436,0.06935687263556116
70-80,0.1186297671279109,0.07991156032849021
80-90,0.09647911632723508,0.09403889065986612
90-100,0.02331455216631047,0.13971539456662355
