energy_bin,agent_helping_rate,human_helping_rate
0-10,0.0013688807770028029,0.06813304721030043
10-20,0.03364969801553063,0.09014084507042254
20-30,0.0364963503649635,0.049132947976878616
30-40,0.027303754266211604,0.08937960042060988
40-50,0.05714285714285714,0.055651176133103844
50-60,0.04048107949545321,0.07360552041403105
60-70,0.06662566625666257,0.06935687263556116
70-80,0.08408510638297872,0.07991156032849021
80-90,0.09407552083333333,0.09403889065986612
90-100,0.07871569135163128,0.13971539456662355
