energy_bin,agent_helping_rate,human_helping_rate
0-10,0.04740406320541761,0.06813304721030043
10-20,0.06505576208178439,0.09014084507042254
20-30,0.07377049180327869,0.049132947976878616
30-40,0.11588541666666667,0.08937960042060988
40-50,0.14962962962962964,0.055651176133103844
50-60,0.12127236580516898,0.07360552041403105
60-70,0.08097165991902834,0.06935687263556116
70-80,0.17856484043534404,0.07991156032849021
80-90,0.18123628383321141,0.09403889065986612
90-100,0.07200929152148665,0.13971539456662355
