distance_bin,agent_helping_rate,human_helping_rate
0-2,0.20884146341463414,0.09446623093681918
3-5,0.39503252513305737,0.08286882199925678
6-10,0.25277229226796294,0.07970440749538137
11+,0.008274698922180936,0.0592071391796808
