distance_bin,agent_helping_rate,human_helping_rate
0-2,0.19852003062005613,0.09446623093681918
3-5,0.1575257731958763,0.08286882199925678
6-10,0.20663546255506607,0.07970440749538137
11+,0.007712581495353031,0.0592071391796808
